sample	lat	lon	Year_stored		
POR_ACO_CH_004	37.7412	-25.6756	1999		
POR_ACO_CH_005	37.7412	-25.6756	1999		
STA_KOK_OA_001	-30.5096	29.4063	2011		
STA_KOK_OA_0010	-30.5096	29.4063	2011		
STA_KOK_OA_0011	-30.5096	29.4063	2011		
STA_KOK_OA_0012	-30.5096	29.4063	2011		
STA_KOK_OA_0013	-30.5096	29.4063	2011		
STA_KOK_OA_0014	-30.5096	29.4063	2011		
STA_KOK_OA_0015	-30.5096	29.4063	2011		
STA_KOK_OA_008	-30.5096	29.4063	2011		
STA_KOK_OA_009	-30.5096	29.4063	2011		
STA_KOK_OA_010	-30.5096	29.4063	2011		
STA_KOK_OA_011	-30.5096	29.4063	2011		
STA_KOK_OA_012	-30.5096	29.4063	2011		
STA_KOK_OA_013	-30.5096	29.4063	2011		
STA_KOK_OA_014	-30.5096	29.4063	2011		
STA_KOK_OA_015	-30.5096	29.4063	2011		
STA_OND_OA_001	-25.6409	28.1708	2001		
STA_OND_OA_0010	-25.6409	28.1708	2001		
STA_OND_OA_0011	-25.6409	28.1708	2001		
STA_OND_OA_0012	-25.6409	28.1708	2001		
STA_OND_OA_0013	-25.6409	28.1708	2001		
STA_OND_OA_0014	-25.6409	28.1708	2001		
STA_OND_OA_0015	-25.6409	28.1708	2001		
STA_OND_OA_008	-25.6409	28.1708	2001		
STA_OND_OA_009	-25.6409	28.1708	2001		
STA_OND_OA_010	-25.6409	28.1708	2001		
STA_OND_OA_011	-25.6409	28.1708	2001		
STA_OND_OA_012	-25.6409	28.1708	2001		
STA_OND_OA_013	-25.6409	28.1708	2001		
STA_OND_OA_014	-25.6409	28.1708	2001		
STA_OND_OA_015	-25.6409	28.1708	2001		
STA_WHR_OA_001	-25.3299	31.0163	2001		
STA_WHR_OA_0011	-25.3299	31.0163	2001		
STA_WHR_OA_0012	-25.3299	31.0163	2001		
STA_WHR_OA_0013	-25.3299	31.0163	2001		
STA_WHR_OA_0014	-25.3299	31.0163	2001		
STA_WHR_OA_0015	-25.3299	31.0163	2001		
STA_WHR_OA_007	-25.3299	31.0163	2001		
STA_WHR_OA_008	-25.3299	31.0163	2001		
STA_WHR_OA_009	-25.3299	31.0163	2001		
STA_WHR_OA_010	-25.3299	31.0163	2001		
STA_WHR_OA_011	-25.3299	31.0163	2001		
STA_WHR_OA_012	-25.3299	31.0163	2001		
STA_WHR_OA_013	-25.3299	31.0163	2001		
STA_WHR_OA_014	-25.3299	31.0163	2001		
STO_STO_CH_001	0.1864	6.6131	1999		
STO_STO_CH_002	0.1864	6.6131	1999		
STO_STO_CH_003	0.1864	6.6131	1999		
STO_STO_CH_004	0.1864	6.6131	1999		
STO_STO_CH_005	0.1864	6.6131	1999		
STO_STO_CH_006	0.1864	6.6131	1999		
STO_STO_CH_007	0.1864	6.6131	1999		
STO_STO_CH_008	0.1864	6.6131	1999		
STO_STO_CH_009	0.1864	6.6131	1999		
ZAI_ZAI_OA_001	-4.0383	21.7587	1995		
ZAI_ZAI_OA_0010	-4.0383	21.7587	1995		
ZAI_ZAI_OA_0011	-4.0383	21.7587	1995		
ZAI_ZAI_OA_0012	-4.0383	21.7587	1995		
ZAI_ZAI_OA_0013	-4.0383	21.7587	1995		
ZAI_ZAI_OA_0014	-4.0383	21.7587	1995		
ZAI_ZAI_OA_0015	-4.0383	21.7587	1995		
ZAI_ZAI_OA_008	-4.0383	21.7587	1995		
ZAI_ZAI_OA_009	-4.0383	21.7587	1995		
ZAI_ZAI_OA_010	-4.0383	21.7587	1995		
ZAI_ZAI_OA_011	-4.0383	21.7587	1995		
ZAI_ZAI_OA_012	-4.0383	21.7587	1995		
ZAI_ZAI_OA_013	-4.0383	21.7587	1995		
ZAI_ZAI_OA_014	-4.0383	21.7587	1995		
ZAI_ZAI_OA_015	-4.0383	21.7587	1995		
