lat	lon	sample	Year_stored	reg	iso	iso2	geo	mcov	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	ivm
-25.6409	28.1708	STA_OND_OA_012	2001	STA	STA.2	OND	Sub.Tropical.Africa	2.51	179	159	57	4300	292	14	278	220	117	224	117	695	124	6	77	356	20	333	20	0
-25.6409	28.1708	STA_OND_OA_013	2001	STA	STA.2	OND	Sub.Tropical.Africa	1.59	179	159	57	4300	292	14	278	220	117	224	117	695	124	6	77	356	20	333	20	0
-25.6409	28.1708	STA_OND_OA_014	2001	STA	STA.2	OND	Sub.Tropical.Africa	2.15	179	159	57	4300	292	14	278	220	117	224	117	695	124	6	77	356	20	333	20	0
-25.6409	28.1708	STA_OND_OA_015	2001	STA	STA.2	OND	Sub.Tropical.Africa	3.85	179	159	57	4300	292	14	278	220	117	224	117	695	124	6	77	356	20	333	20	0
-29.2893	150.992	AUS_WAL_OA_001	2008	AUS	AUS.1	WAL	Oceania	2.59	168	151	50	5386	311	12	299	234	95	234	95	748	94	36	32	270	126	270	126	1
-29.2893	150.992	AUS_WAL_OA_0010	2008	AUS	AUS.1	WAL	Oceania	2.96	168	151	50	5386	311	12	299	234	95	234	95	748	94	36	32	270	126	270	126	1
-29.2893	150.992	AUS_WAL_OA_0011	2008	AUS	AUS.1	WAL	Oceania	1.84	168	151	50	5386	311	12	299	234	95	234	95	748	94	36	32	270	126	270	126	1
-29.2893	150.992	AUS_WAL_OA_0012	2008	AUS	AUS.1	WAL	Oceania	2	168	151	50	5386	311	12	299	234	95	234	95	748	94	36	32	270	126	270	126	1
-29.2893	150.992	AUS_WAL_OA_0013	2008	AUS	AUS.1	WAL	Oceania	2.18	168	151	50	5386	311	12	299	234	95	234	95	748	94	36	32	270	126	270	126	1
-29.2893	150.992	AUS_WAL_OA_0014	2008	AUS	AUS.1	WAL	Oceania	1.39	168	151	50	5386	311	12	299	234	95	234	95	748	94	36	32	270	126	270	126	1
-29.2893	150.992	AUS_WAL_OA_0015	2008	AUS	AUS.1	WAL	Oceania	4.91	168	151	50	5386	311	12	299	234	95	234	95	748	94	36	32	270	126	270	126	1
-29.2893	150.992	AUS_WAL_OA_008	2008	AUS	AUS.1	WAL	Oceania	4.29	168	151	50	5386	311	12	299	234	95	234	95	748	94	36	32	270	126	270	126	1
-29.2893	150.992	AUS_WAL_OA_009	2008	AUS	AUS.1	WAL	Oceania	2	168	151	50	5386	311	12	299	234	95	234	95	748	94	36	32	270	126	270	126	1
-29.2893	150.992	AUS_WAL_OA_010	2008	AUS	AUS.1	WAL	Oceania	2.83	168	151	50	5386	311	12	299	234	95	234	95	748	94	36	32	270	126	270	126	1
-29.2893	150.992	AUS_WAL_OA_011	2008	AUS	AUS.1	WAL	Oceania	3.04	168	151	50	5386	311	12	299	234	95	234	95	748	94	36	32	270	126	270	126	1
-29.2893	150.992	AUS_WAL_OA_012	2008	AUS	AUS.1	WAL	Oceania	2.47	168	151	50	5386	311	12	299	234	95	234	95	748	94	36	32	270	126	270	126	1
-29.2893	150.992	AUS_WAL_OA_013	2008	AUS	AUS.1	WAL	Oceania	1.88	168	151	50	5386	311	12	299	234	95	234	95	748	94	36	32	270	126	270	126	1
-29.2893	150.992	AUS_WAL_OA_014	2008	AUS	AUS.1	WAL	Oceania	1.9	168	151	50	5386	311	12	299	234	95	234	95	748	94	36	32	270	126	270	126	1
-29.2893	150.992	AUS_WAL_OA_015	2008	AUS	AUS.1	WAL	Oceania	2.22	168	151	50	5386	311	12	299	234	95	234	95	748	94	36	32	270	126	270	126	1
-30.5016	151.6662	ITA_NAP_CH_001	2004	ITA	AUS.2	NAP	Oceania	1.63	131	131	50	4758	259	-1	260	189	101	189	68	793	114	42	34	297	139	297	140	0
-30.5016	151.6662	ITA_NAP_CH_0010	2004	ITA	AUS.2	NAP	Oceania	1.85	131	131	50	4758	259	-1	260	189	101	189	68	793	114	42	34	297	139	297	140	0
-30.5016	151.6662	ITA_NAP_CH_003	2004	ITA	AUS.2	NAP	Oceania	3.74	131	131	50	4758	259	-1	260	189	101	189	68	793	114	42	34	297	139	297	140	0
-30.5016	151.6662	ITA_NAP_CH_004	2004	ITA	AUS.2	NAP	Oceania	5.43	131	131	50	4758	259	-1	260	189	101	189	68	793	114	42	34	297	139	297	140	0
-30.5016	151.6662	ITA_NAP_CH_005	2004	ITA	AUS.2	NAP	Oceania	1.17	131	131	50	4758	259	-1	260	189	101	189	68	793	114	42	34	297	139	297	140	0
-30.5016	151.6662	ITA_NAP_CH_006	2004	ITA	AUS.2	NAP	Oceania	5.66	131	131	50	4758	259	-1	260	189	101	189	68	793	114	42	34	297	139	297	140	0
-30.5016	151.6662	ITA_NAP_CH_007	2004	ITA	AUS.2	NAP	Oceania	2.31	131	131	50	4758	259	-1	260	189	101	189	68	793	114	42	34	297	139	297	140	0
-30.5016	151.6662	ITA_NAP_CH_008	2004	ITA	AUS.2	NAP	Oceania	2.1	131	131	50	4758	259	-1	260	189	101	189	68	793	114	42	34	297	139	297	140	0
-30.5016	151.6662	ITA_NAP_CH_009	2004	ITA	AUS.2	NAP	Oceania	2.12	131	131	50	4758	259	-1	260	189	101	189	68	793	114	42	34	297	139	297	140	0
-30.5016	151.6662	ITA_NAP_CH_010	2004	ITA	AUS.2	NAP	Oceania	1.35	131	131	50	4758	259	-1	260	189	101	189	68	793	114	42	34	297	139	297	140	0
-30.5096	29.4063	STA_KOK_OA_001	2011	STA	STA.1	KOK	Sub.Tropical.Africa	1.56	144	144	58	3595	252	5	247	186	94	186	94	794	135	12	65	369	44	369	44	1
-30.5096	29.4063	STA_KOK_OA_0010	2011	STA	STA.1	KOK	Sub.Tropical.Africa	1.08	144	144	58	3595	252	5	247	186	94	186	94	794	135	12	65	369	44	369	44	1
-30.5096	29.4063	STA_KOK_OA_0012	2011	STA	STA.1	KOK	Sub.Tropical.Africa	0.77	144	144	58	3595	252	5	247	186	94	186	94	794	135	12	65	369	44	369	44	1
-30.5096	29.4063	STA_KOK_OA_0013	2011	STA	STA.1	KOK	Sub.Tropical.Africa	1.44	144	144	58	3595	252	5	247	186	94	186	94	794	135	12	65	369	44	369	44	1
-30.5096	29.4063	STA_KOK_OA_0014	2011	STA	STA.1	KOK	Sub.Tropical.Africa	3.35	144	144	58	3595	252	5	247	186	94	186	94	794	135	12	65	369	44	369	44	1
-30.5096	29.4063	STA_KOK_OA_0015	2011	STA	STA.1	KOK	Sub.Tropical.Africa	5.42	144	144	58	3595	252	5	247	186	94	186	94	794	135	12	65	369	44	369	44	1
-30.5096	29.4063	STA_KOK_OA_008	2011	STA	STA.1	KOK	Sub.Tropical.Africa	14.75	144	144	58	3595	252	5	247	186	94	186	94	794	135	12	65	369	44	369	44	1
-30.5096	29.4063	STA_KOK_OA_009	2011	STA	STA.1	KOK	Sub.Tropical.Africa	2.29	144	144	58	3595	252	5	247	186	94	186	94	794	135	12	65	369	44	369	44	1
-30.5096	29.4063	STA_KOK_OA_010	2011	STA	STA.1	KOK	Sub.Tropical.Africa	1.25	144	144	58	3595	252	5	247	186	94	186	94	794	135	12	65	369	44	369	44	1
-30.5096	29.4063	STA_KOK_OA_011	2011	STA	STA.1	KOK	Sub.Tropical.Africa	13.78	144	144	58	3595	252	5	247	186	94	186	94	794	135	12	65	369	44	369	44	1
-30.5096	29.4063	STA_KOK_OA_012	2011	STA	STA.1	KOK	Sub.Tropical.Africa	1.2	144	144	58	3595	252	5	247	186	94	186	94	794	135	12	65	369	44	369	44	1
-30.5096	29.4063	STA_KOK_OA_013	2011	STA	STA.1	KOK	Sub.Tropical.Africa	0.81	144	144	58	3595	252	5	247	186	94	186	94	794	135	12	65	369	44	369	44	1
-30.5096	29.4063	STA_KOK_OA_014	2011	STA	STA.1	KOK	Sub.Tropical.Africa	0.56	144	144	58	3595	252	5	247	186	94	186	94	794	135	12	65	369	44	369	44	1
-30.5096	29.4063	STA_KOK_OA_015	2011	STA	STA.1	KOK	Sub.Tropical.Africa	7.84	144	144	58	3595	252	5	247	186	94	186	94	794	135	12	65	369	44	369	44	1
-4.0383	21.7587	ZAI_ZAI_OA_001	1995	ZAI	ZAI	ZAI	Sub.Tropical.Africa	1.33	248	105	87	399	306	186	120	246	243	253	243	1743	229	23	44	637	136	483	136	0
-4.0383	21.7587	ZAI_ZAI_OA_0010	1995	ZAI	ZAI	ZAI	Sub.Tropical.Africa	1.33	248	105	87	399	306	186	120	246	243	253	243	1743	229	23	44	637	136	483	136	0
-4.0383	21.7587	ZAI_ZAI_OA_0011	1995	ZAI	ZAI	ZAI	Sub.Tropical.Africa	1.54	248	105	87	399	306	186	120	246	243	253	243	1743	229	23	44	637	136	483	136	0
-4.0383	21.7587	ZAI_ZAI_OA_0012	1995	ZAI	ZAI	ZAI	Sub.Tropical.Africa	1.38	248	105	87	399	306	186	120	246	243	253	243	1743	229	23	44	637	136	483	136	0
-4.0383	21.7587	ZAI_ZAI_OA_0013	1995	ZAI	ZAI	ZAI	Sub.Tropical.Africa	0.92	248	105	87	399	306	186	120	246	243	253	243	1743	229	23	44	637	136	483	136	0
-4.0383	21.7587	ZAI_ZAI_OA_0014	1995	ZAI	ZAI	ZAI	Sub.Tropical.Africa	4.78	248	105	87	399	306	186	120	246	243	253	243	1743	229	23	44	637	136	483	136	0
-4.0383	21.7587	ZAI_ZAI_OA_0015	1995	ZAI	ZAI	ZAI	Sub.Tropical.Africa	2.26	248	105	87	399	306	186	120	246	243	253	243	1743	229	23	44	637	136	483	136	0
-4.0383	21.7587	ZAI_ZAI_OA_008	1995	ZAI	ZAI	ZAI	Sub.Tropical.Africa	1.77	248	105	87	399	306	186	120	246	243	253	243	1743	229	23	44	637	136	483	136	0
-4.0383	21.7587	ZAI_ZAI_OA_009	1995	ZAI	ZAI	ZAI	Sub.Tropical.Africa	1.17	248	105	87	399	306	186	120	246	243	253	243	1743	229	23	44	637	136	483	136	0
-4.0383	21.7587	ZAI_ZAI_OA_010	1995	ZAI	ZAI	ZAI	Sub.Tropical.Africa	0.86	248	105	87	399	306	186	120	246	243	253	243	1743	229	23	44	637	136	483	136	0
-4.0383	21.7587	ZAI_ZAI_OA_011	1995	ZAI	ZAI	ZAI	Sub.Tropical.Africa	4.91	248	105	87	399	306	186	120	246	243	253	243	1743	229	23	44	637	136	483	136	0
-4.0383	21.7587	ZAI_ZAI_OA_012	1995	ZAI	ZAI	ZAI	Sub.Tropical.Africa	4.31	248	105	87	399	306	186	120	246	243	253	243	1743	229	23	44	637	136	483	136	0
-4.0383	21.7587	ZAI_ZAI_OA_013	1995	ZAI	ZAI	ZAI	Sub.Tropical.Africa	1.49	248	105	87	399	306	186	120	246	243	253	243	1743	229	23	44	637	136	483	136	0
-4.0383	21.7587	ZAI_ZAI_OA_014	1995	ZAI	ZAI	ZAI	Sub.Tropical.Africa	0.83	248	105	87	399	306	186	120	246	243	253	243	1743	229	23	44	637	136	483	136	0
-4.0383	21.7587	ZAI_ZAI_OA_015	1995	ZAI	ZAI	ZAI	Sub.Tropical.Africa	2.74	248	105	87	399	306	186	120	246	243	253	243	1743	229	23	44	637	136	483	136	0
0.1864	6.6131	STO_STO_CH_001	1999	STO	STO	STO	Western.Africa	5.01	230	69	70	835	277	179	98	230	217	239	217	2726	443	15	57	1043	110	857	110	0
0.1864	6.6131	STO_STO_CH_002	1999	STO	STO	STO	Western.Africa	1.21	230	69	70	835	277	179	98	230	217	239	217	2726	443	15	57	1043	110	857	110	0
0.1864	6.6131	STO_STO_CH_003	1999	STO	STO	STO	Western.Africa	1	230	69	70	835	277	179	98	230	217	239	217	2726	443	15	57	1043	110	857	110	0
0.1864	6.6131	STO_STO_CH_004	1999	STO	STO	STO	Western.Africa	1.07	230	69	70	835	277	179	98	230	217	239	217	2726	443	15	57	1043	110	857	110	0
0.1864	6.6131	STO_STO_CH_005	1999	STO	STO	STO	Western.Africa	1.35	230	69	70	835	277	179	98	230	217	239	217	2726	443	15	57	1043	110	857	110	0
0.1864	6.6131	STO_STO_CH_006	1999	STO	STO	STO	Western.Africa	1.04	230	69	70	835	277	179	98	230	217	239	217	2726	443	15	57	1043	110	857	110	0
0.1864	6.6131	STO_STO_CH_007	1999	STO	STO	STO	Western.Africa	3.38	230	69	70	835	277	179	98	230	217	239	217	2726	443	15	57	1043	110	857	110	0
0.1864	6.6131	STO_STO_CH_008	1999	STO	STO	STO	Western.Africa	9.01	230	69	70	835	277	179	98	230	217	239	217	2726	443	15	57	1043	110	857	110	0
0.1864	6.6131	STO_STO_CH_009	1999	STO	STO	STO	Western.Africa	0.45	230	69	70	835	277	179	98	230	217	239	217	2726	443	15	57	1043	110	857	110	0
16.265	-61.551	FRG_AVE_OA_001	2005	FRG	FRG	AVE	South.America	3.84	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_AVE_OA_002	2005	FRG	FRG	AVE	South.America	2.64	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_AVE_OA_003	2005	FRG	FRG	AVE	South.America	2.14	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_AVE_OA_004	2005	FRG	FRG	AVE	South.America	2.19	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_CES_OA_001	2005	FRG	FRG	CES	South.America	1.22	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_CES_OA_002	2005	FRG	FRG	CES	South.America	1.45	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_CES_OA_003	2005	FRG	FRG	CES	South.America	0.65	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_CES_OA_004	2005	FRG	FRG	CES	South.America	1.29	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_DAV_OA_001	2005	FRG	FRG	DAV	South.America	2.04	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_DAV_OA_002	2005	FRG	FRG	DAV	South.America	0.52	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_DAV_OA_003	2005	FRG	FRG	DAV	South.America	3.45	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_DAV_OA_004	2005	FRG	FRG	DAV	South.America	8.48	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_DEJ_OA_001	2005	FRG	FRG	DEJ	South.America	14.72	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_DEJ_OA_002	2005	FRG	FRG	DEJ	South.America	14.65	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_DEJ_OA_003	2005	FRG	FRG	DEJ	South.America	15.24	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_DEJ_OA_004	2005	FRG	FRG	DEJ	South.America	1.85	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_MEY_OA_001	2005	FRG	FRG	MEY	South.America	1.38	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_MEY_OA_002	2005	FRG	FRG	MEY	South.America	2.65	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_MEY_OA_003	2005	FRG	FRG	MEY	South.America	10.67	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_ROB_OA_001	2005	FRG	FRG	ROB	South.America	1.55	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_ROB_OA_002	2005	FRG	FRG	ROB	South.America	2.85	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_ROB_OA_003	2005	FRG	FRG	ROB	South.America	3.23	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.265	-61.551	FRG_ROB_OA_004	2005	FRG	FRG	ROB	South.America	2.47	257	81	70	1228	308	193	115	267	238	269	238	1602	228	53	41	626	189	531	189	0
16.5388	-23.0418	CAP_CAP_CH_0010	1999	CAP	CAP	CAP	Western.Africa	1.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
