MOR_MAR_OA_0015	6711595	477.80	500	500	416	99.1
MOR_MAR_OA_001	2422271	172.44	205	192	171	97.7
MOR_MAR_OA_002	594795	42.34	56	44	32	92.3
MOR_MAR_OA_003	2363232	168.24	197	187	173	98.3
MOR_MAR_OA_005	1705868	121.44	148	135	113	97.0
MOR_MAR_OA_006	736534	52.43	66	55	45	96.0
MOR_MAR_OA_008	2741881	195.19	224	218	205	97.9
MOR_MAR_OA_009	50108975	3567.24	500	500	500	99.6
NAM_NAM_CH_0010	11352948	808.21	500	500	500	96.7
NAM_NAM_CH_0011	1712138	121.89	161	138	98	94.8
NAM_NAM_CH_0012	1884772	134.18	179	156	98	95.7
NAM_NAM_CH_0013	2041017	145.30	187	166	117	95.7
NAM_NAM_CH_0014	2030940	144.58	189	169	107	96.6
NAM_NAM_CH_0015	12710858	904.88	500	500	500	97.2
NAM_NAM_CH_001	5277101	375.67	483	393	289	96.6
NAM_NAM_CH_008	399676	28.45	40	31	21	81.9
NAM_NAM_CH_009	2485384	176.93	228	191	127	94.9
NAM_NAM_CH_010	6086452	433.29	500	489	326	96.4
NAM_NAM_CH_011	1665952	118.60	158	134	91	94.8
NAM_NAM_CH_012	1892513	134.73	179	155	106	95.5
NAM_NAM_CH_013	21206308	1509.67	500	500	500	96.7
NAM_NAM_CH_014	1365468	97.21	128	107	74	93.8
NAM_NAM_CH_015	1408946	100.30	133	111	70	94.0
POR_ACO_CH_001	2476575	176.31	204	197	183	98.0
POR_ACO_CH_002	978724	69.67	86	75	63	96.6
POR_ACO_CH_003	1133952	80.73	104	84	69	97.1
POR_ACO_CH_004	479872	34.16	45	35	26	89.7
POR_ACO_CH_005	5069144	360.87	446	385	320	98.8
STA_KOK_OA_0010	1233906	87.84	115	100	69	94.0
STA_KOK_OA_0011	194388	13.84	19	14	10	42.5
STA_KOK_OA_0012	1177095	83.80	104	89	67	97.0
STA_KOK_OA_0013	1785174	127.09	168	141	93	96.2
STA_KOK_OA_0014	2273413	161.84	206	166	124	98.1
STA_KOK_OA_0015	2775371	197.58	228	222	208	98.8
STA_KOK_OA_001	2787597	198.45	229	222	209	98.8
STA_KOK_OA_008	3119666	222.09	276	234	164	99.3
STA_KOK_OA_009	2706242	192.66	223	216	200	98.7
STA_KOK_OA_010	1618992	115.26	153	125	85	95.8
STA_KOK_OA_011	12542168	892.87	500	500	500	100.0
STA_KOK_OA_012	1927767	137.24	168	150	126	97.6
STA_KOK_OA_013	648460	46.16	57	48	38	92.4
STA_KOK_OA_014	854282	60.82	76	65	52	95.5
STA_KOK_OA_015	3663966	260.84	321	281	230	99.3
STA_OND_OA_0010	715805	50.96	64	56	45	94.2
STA_OND_OA_0011	2339198	166.53	196	184	166	97.7
STA_OND_OA_0012	2473013	176.05	207	198	174	97.7
STA_OND_OA_0013	2862787	203.80	236	230	216	98.7
STA_OND_OA_0014	3046869	216.91	242	237	226	99.8
STA_OND_OA_0015	678314	48.29	66	49	32	93.2
STA_OND_OA_001	1961660	139.65	164	156	139	97.5
STA_OND_OA_008	2087542	148.61	183	166	134	97.3
STA_OND_OA_009	357433	25.45	36	26	17	78.7
STA_OND_OA_010	2812001	200.19	231	223	210	98.2
STA_OND_OA_011	2582013	183.81	218	208	178	97.8
STA_OND_OA_012	626042	44.57	63	47	29	91.4
STA_OND_OA_013	626422	44.59	60	48	33	93.1
STA_OND_OA_014	2751253	195.86	227	220	201	97.6
STA_OND_OA_015	628380	44.73	58	46	34	93.4
STA_WHR_OA_0011	1803361	128.38	169	147	97	94.3
STA_WHR_OA_0012	1609987	114.61	151	130	88	94.4
STA_WHR_OA_0013	1541886	109.77	144	119	84	95.2
STA_WHR_OA_0014	2021612	143.92	185	163	108	96.4
STA_WHR_OA_0015	1856567	132.17	174	147	100	96.0
STA_WHR_OA_001	1302588	92.73	129	100	62	92.9
STA_WHR_OA_007	1055106	75.11	103	83	53	92.2
STA_WHR_OA_008	966501	68.80	92	77	48	92.9
STA_WHR_OA_009	848509	60.40	82	65	42	94.5
STA_WHR_OA_010	216048	15.38	22	16	11	53.4
STA_WHR_OA_011	3874985	275.86	353	299	213	97.8
STA_WHR_OA_012	1526037	108.64	146	119	72	94.2
STA_WHR_OA_013	1070565	76.21	105	82	56	92.4
STA_WHR_OA_014	522596	37.20	51	39	25	90.0
STO_STO_CH_001	1938287	137.99	181	160	112	94.6
STO_STO_CH_002	1120301	79.75	107	85	61	92.8
STO_STO_CH_003	1519526	108.17	141	119	77	94.5
STO_STO_CH_004	1249406	88.94	119	91	64	94.8
STO_STO_CH_005	1900576	135.30	186	154	87	94.4
STO_STO_CH_006	1417727	100.93	137	109	74	93.7
STO_STO_CH_007	9825959	699.51	500	500	493	96.5
STO_STO_CH_008	40472935	2881.25	500	500	500	97.6
STO_STO_CH_009	2104704	149.83	197	172	112	96.0
ZAI_ZAI_OA_0010	1520811	108.27	143	122	84	94.5
ZAI_ZAI_OA_0011	1380285	98.26	130	110	74	94.5
ZAI_ZAI_OA_0012	2093071	149.00	187	166	129	97.5
ZAI_ZAI_OA_0013	1305062	92.91	123	103	72	93.8
ZAI_ZAI_OA_0014	3318986	236.28	314	251	169	96.0
ZAI_ZAI_OA_0015	1999815	142.37	182	164	119	95.5
ZAI_ZAI_OA_001	1528236	108.79	141	123	86	94.5
ZAI_ZAI_OA_008	1895465	134.94	174	157	109	95.3
ZAI_ZAI_OA_009	1859025	132.34	170	153	105	95.2
ZAI_ZAI_OA_010	996993	70.98	98	78	49	93.0
ZAI_ZAI_OA_011	9826321	699.53	500	500	458	96.4
ZAI_ZAI_OA_012	1638061	116.61	159	118	76	94.1
ZAI_ZAI_OA_013	1567414	111.58	148	126	83	94.7
ZAI_ZAI_OA_014	898276	63.95	85	68	46	91.9
ZAI_ZAI_OA_015	1951345	138.92	180	161	112	95.1
