MAFbin MEAN_FST COMP
0.5 0.20653895490412 CAP.IND
0.1 0.000833622725936984 CAP.NAM
0.2 0.00347389855512172 CAP.NAM
0.3 0.0427152248137268 CAP.NAM
0.4 0.127360737482302 CAP.NAM
0.5 0.208227601310176 CAP.NAM
0.1 0.00454880271545141 CAP.STO
0.2 0.00606884932651011 CAP.STO
0.3 0.0588713281820519 CAP.STO
0.4 0.184359727301627 CAP.STO
0.5 0.390895477239266 CAP.STO
0.1 0.0332687846295283 FRA.1.FRG
0.2 0.0542789127246136 FRA.1.FRG
0.3 0.0561188049980137 FRA.1.FRG
0.4 0.0643021796388559 FRA.1.FRG
0.5 0.0731312520105505 FRA.1.FRG
0.1 0.0461448890180461 FRA.1.IND
0.2 0.0437669177320733 FRA.1.IND
0.3 0.04201352214134 FRA.1.IND
0.4 0.058309950016437 FRA.1.IND
0.5 0.0774738379346324 FRA.1.IND
0.1 0.136844323716591 FRA.1.STO
0.2 0.156830057588615 FRA.1.STO
0.3 0.118419347216521 FRA.1.STO
0.4 0.126117196469927 FRA.1.STO
0.5 0.149124432614202 FRA.1.STO
0.1 0.00217878854691996 FRA.2.FRA.1
0.2 0.00415993749041308 FRA.2.FRA.1
0.3 0.00564042361828253 FRA.2.FRA.1
0.4 0.00931450478836399 FRA.2.FRA.1
0.5 0.014456568845538 FRA.2.FRA.1
0.1 0.00288232582064298 FRA.2.FRA.3
0.2 0.0130645717514124 FRA.2.FRA.3
0.3 0.116278954533333 FRA.2.FRA.3
0.4 0.0595804958449612 FRA.2.FRA.3
0.5 0.018594831011236 FRA.2.FRA.3
0.1 0.00211022875305293 FRA.2.FRG
0.2 0.00358592672073836 FRA.2.FRG
0.3 0.0117227550103683 FRA.2.FRG
0.4 0.0328512039878738 FRA.2.FRG
0.5 0.0656001002468717 FRA.2.FRG
0.1 0.0237509766389909 FRA.2.IND
0.2 0.0214319013728653 FRA.2.IND
0.3 0.0553604447533862 FRA.2.IND
0.4 0.083186262342508 FRA.2.IND
0.5 0.170995771527013 FRA.2.IND
0.1 0.0441493519466748 FRA.2.STO
0.2 0.049378322760611 FRA.2.STO
0.3 0.13628897520004 FRA.2.STO
0.4 0.236520289252527 FRA.2.STO
0.5 0.435962368076673 FRA.2.STO
0.1 0.000251783965836576 FRA.3.FRA.1
0.2 0.00302395124903346 FRA.3.FRA.1
0.3 0.0111007925428962 FRA.3.FRA.1
0.4 0.0261360292619048 FRA.3.FRA.1
0.5 0.0601952048342857 FRA.3.FRA.1
0.1 0.000194516439972668 FRA.3.FRG
0.2 0.00089915846170205 FRA.3.FRG
0.3 0.0151979867798387 FRA.3.FRG
0.4 0.042908428408533 FRA.3.FRG
0.5 0.101305279765638 FRA.3.FRG
0.1 0.00290086012423029 FRA.3.IND
0.2 0.00510315917765098 FRA.3.IND
0.3 0.0393325667528195 FRA.3.IND
0.4 0.100594073281493 FRA.3.IND
